"month","total_orders","monthly_revenue"
"2016-09","3","252.24"
"2016-10","324","59090.48"
"2016-12","1","19.62"
"2017-01","800","138488.04"
"2017-02","1780","291908.01"
"2017-03","2682","449863.60"
"2017-04","2404","417788.03"
"2017-05","3700","592918.82"
"2017-06","3245","511276.38"
"2017-07","4026","592382.92"
"2017-08","4331","674396.32"
"2017-09","4285","727762.45"
"2017-10","4631","779677.88"
"2017-11","7544","1194882.80"
"2017-12","5673","878401.48"
"2018-01","7269","1115004.18"
"2018-02","6728","992463.34"
"2018-03","7211","1159652.12"
"2018-04","6939","1160785.48"
"2018-05","6873","1153982.15"
"2018-06","6167","1023880.50"
"2018-07","6292","1066540.75"
"2018-08","6512","1022425.32"
"2018-09","16","4439.54"
"2018-10","4","589.67"
